epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,513.597,1.62587,2.62509,1.52325,0.47338,0.35216,0.35211,0.15884,1.73503,5.01004,1.46382,0.00999358,0.00333119,0.00999358,0.00333119,0.00999358,0.00333119,0.00999358,0.00333119
2,974.308,1.64536,2.12585,1.52631,0.51454,0.40306,0.41716,0.195,1.71044,6.60586,1.48673,0.0193338,0.0064446,0.0193338,0.0064446,0.0193338,0.0064446,0.0193338,0.0064446
3,1538.82,1.70072,2.12804,1.57104,0.49044,0.3819,0.37002,0.16439,1.77682,4.44015,1.54515,0.028014,0.009338,0.028014,0.009338,0.028014,0.009338,0.028014,0.009338
