epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6222.18,1.55413,2.17275,1.65409,0.55688,0.42318,0.45693,0.22124,1.62708,2.4901,1.63253,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,20667.1,1.58713,1.98251,1.67428,0.56686,0.43351,0.47033,0.22972,1.61395,2.30865,1.63115,0.0193369,0.00644563,0.0193369,0.00644563,0.0193369,0.00644563,0.0193369,0.00644563
3,33678.5,1.64433,2.12575,1.72977,0.528,0.41421,0.44038,0.21437,1.65329,2.77245,1.66239,0.028017,0.009339,0.028017,0.009339,0.028017,0.009339,0.028017,0.009339
4,44289.7,1.62388,2.07714,1.7284,0.59299,0.4922,0.5355,0.27354,1.53684,3.15069,1.59244,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
